#"theta [deg]" "DeltaBLA [a0]" V_G V_E w
0 -0.264561657564096 0.005260840000119 -0.008143175477867 -0.050034820441038
0 -0.245664396309518 0.004530709999926 -0.007834982054037 -0.049695979200675
0 -0.22676713505494 0.003848830000152 -0.007462864994628 -0.049376794353829
0 -0.207869873800362 0.003230840000015 -0.007058665939744 -0.049031617548005
0 -0.188972612545783 0.002674625000054 -0.006620741330683 -0.048666321836346
0 -0.170075351291205 0.002241324999886 -0.005980792747634 -0.048389293861617
0 -0.151178090036626 0.001724409999952 -0.005587285047663 -0.047964543129568
0 -0.132280828782049 0.00130361499987 -0.004999082931137 -0.047652357948882
0 -0.11338356752747 0.000965624999935 -0.004403674493455 -0.047283078022
0 -0.094486306272892 0.000673054999879 -0.003756508272619 -0.046941007476355
0 -0.075589045018313 0.000483610000174 -0.002976253683919 -0.046651097537956
0 -0.056691783763735 0.000248025000019 -0.002358221058364 -0.046274358974953
0 -0.037794522509157 0.000159505000283 -0.001525013411556 -0.045991292703409
0 -0.018897261254579 3.56900000042515E-05 -0.000832044621033 -0.04563691778288
0 0 0 -2.95001342171732E-10 -0.045363493402859
0 0.018897261254578 3.56850000571285E-05 0.00081799958535 -0.045039456493481
0 0.037794522509157 0.00011537499995 0.001688281722603 -0.044757235571797
0 0.056691783763735 0.000248310000188 0.002586086787943 -0.044484113143498
0 0.075589045018313 0.000422404999881 0.003577852614414 -0.044296073633348
0 0.094486306272891 0.00067445500008 0.004474951993174 -0.043975050841323
0 0.11338356752747 0.000958630000241 0.005491321141575 -0.043771718230834
0 0.132280828782048 0.001315535000231 0.00648655964972 -0.043510967437854
0 0.151178090036626 0.001725995000015 0.007539888974723 -0.043286726728873
0 0.170075351291204 0.002188190000197 0.008634709984367 -0.043083921552187
0 0.188972612545783 0.002684280000267 0.009742946499946 -0.04289230161513
0 0.207869873800361 0.003241320000143 0.010924517103488 -0.04274143941043
0 0.226767135054939 0.003871604999858 0.012083118949742 -0.042527840810211
5 -0.264561657564096 0.00528297000028 -0.007768102132792 -0.050040134398687
5 -0.245664396309518 0.004551795000225 -0.0074575828865 -0.049705576693059
5 -0.22676713505494 0.003876645000219 -0.007099898846408 -0.049366657205917
5 -0.207869873800362 0.003257084999859 -0.006696879856339 -0.04902390197803
5 -0.188972612545783 0.002692715000194 -0.006249358092044 -0.0486789708237
5 -0.170075351291205 0.002183160000186 -0.005760328183162 -0.04833156936441
5 -0.151178090036626 0.001728075000301 -0.005228603066614 -0.047985766627569
5 -0.132280828782049 0.001327160000073 -0.004653793776317 -0.047644636553215
5 -0.11338356752747 0.000980135000191 -0.004045840150027 -0.047301879850005
5 -0.094486306272892 0.000686774999849 -0.00340226775749 -0.046962732170892
5 -0.075589045018313 0.000446890000148 -0.002724966834435 -0.046628194925299
5 -0.056691783763735 0.000260329999946 -0.002013379266176 -0.046301464773193
5 -0.037794522509157 0.000126984999952 -0.001268980391387 -0.045983376943433
5 -0.018897261254579 4.6805000238237E-05 -0.000495433355865 -0.045672311684353
5 0 1.97550002667413E-05 0.000309734094775 -0.045372214548775
5 0.018897261254578 4.58600002275489E-05 0.001144536801437 -0.045082246704411
5 0.037794522509157 0.0001251650001 0.002009655687741 -0.04480368369313
5 0.056691783763735 0.000257760000295 0.002904714764475 -0.044536550170063
5 0.075589045018313 0.000443769999947 0.003828428765817 -0.044279345398881
5 0.094486306272891 0.000683350000145 0.004783200753009 -0.0440343160598
5 0.11338356752747 0.000976674999947 0.005769326056335 -0.043800985542182
5 0.132280828782048 0.001323954999862 0.006785817840391 -0.043577650861995
5 0.151178090036626 0.001725415000237 0.007834339622186 -0.043365023252576
5 0.170075351291204 0.002181310000196 0.008915467329475 -0.043162437566815
5 0.188972612545783 0.002691919999961 0.010030934308713 -0.04297070744448
5 0.207869873800361 0.003257560000293 0.011178834488077 -0.042786521780394
5 0.226767135054939 0.003878575000272 0.012354021786574 -0.04260438864356
10 -0.264561657564096 0.005408904999967 -0.006878853062629 -0.049763654119581
10 -0.245664396309518 0.004674634999901 -0.006580002883638 -0.049425111830403
10 -0.22676713505494 0.003996514999926 -0.006234934048626 -0.049082575228979
10 -0.207869873800362 0.003374105000148 -0.005843417993321 -0.048738685790129
10 -0.188972612545783 0.002807020000091 -0.005411608275378 -0.048390042426815
10 -0.170075351291205 0.002294870000242 -0.004935149734651 -0.048043742378631
10 -0.151178090036626 0.001837324999997 -0.004420367886113 -0.047696548464992
10 -0.132280828782049 0.001434069999959 -0.003860387571084 -0.047358049824274
10 -0.11338356752747 0.001084824999907 -0.003269563347205 -0.047017549939023
10 -0.094486306272892 0.000789359999999 -0.002645404617395 -0.046680259398025
10 -0.075589045018313 0.000547470000129 -0.001985178976875 -0.046351622027379
10 -0.056691783763735 0.000359010000011 -0.001292745911421 -0.046030273909844
10 -0.037794522509157 0.000223860000006 -0.000568328285245 -0.045718053429759
10 -0.018897261254579 0.000141960000292 0.000185737391813 -0.045414343773769
10 0 0.000113280000278 0.000970896767217 -0.045121858046205
10 0.018897261254578 0.000137829999858 0.001785323831563 -0.044839572938756
10 0.037794522509157 0.00021565499992 0.002629845917546 -0.044568634707013
10 0.056691783763735 0.000346854999862 0.003502904566798 -0.044307800258804
10 0.075589045018313 0.000531534999936 0.004408346182704 -0.044060295822519
10 0.094486306272891 0.000769865000166 0.005342449983838 -0.04382218633806
10 0.11338356752747 0.001062010000169 0.006309345296187 -0.043596623159353
10 0.132280828782048 0.001408184999946 0.007308129029124 -0.043381883383064
10 0.151178090036626 0.001808620000247 0.008337908387017 -0.043176166394918
10 0.170075351291204 0.002263560000301 0.0094018582933 -0.042981334731606
10 0.188972612545783 0.002773290000277 0.010499201923767 -0.04279555776913
10 0.207869873800361 0.003338115000133 0.011622294409405 -0.042610620006303
10 0.226767135054939 0.003958395000154 0.012789716916492 -0.042442188072787
15 -0.264561657564096 0.005610414999865 -0.005306823848868 -0.04940735412308
15 -0.245664396309518 0.004871090000051 -0.005026688990897 -0.0490650714528
15 -0.22676713505494 0.004188065000108 -0.004701972874919 -0.048719402435188
15 -0.207869873800362 0.003560900000139 -0.004332574625749 -0.048373199540395
15 -0.188972612545783 0.002989195000282 -0.003922661067236 -0.048025206938035
15 -0.170075351291205 0.002472565000062 -0.003471122145935 -0.047679629751304
15 -0.151178090036626 0.002010669999891 -0.002981121921301 -0.04733646020942
15 -0.132280828782049 0.001603194999916 -0.002447822196668 -0.047003332783967
15 -0.11338356752747 0.001249859999916 -0.001885760974549 -0.046669274016492
15 -0.094486306272892 0.000950430000103 -0.00128880099376 -0.04634292297967
15 -0.075589045018313 0.000704715000211 -0.000660856220626 -0.046022814308997
15 -0.056691783763735 0.000512560000061 1.71663010111855E-07 -0.04571307722237
15 -0.037794522509157 0.000373854999907 0.000691981199489 -0.045413074259804
15 -0.018897261254579 0.000288539999929 0.00141252523993 -0.045121865384227
15 0 0.000256584999988 0.002164724311013 -0.044843201026362
15 0.018897261254578 0.000278004999927 0.002946994580142 -0.044575860031551
15 0.037794522509157 0.000352855000074 0.003759140501753 -0.044319656386664
15 0.056691783763735 0.000481219999983 0.004601162092711 -0.044074244325602
15 0.075589045018313 0.000663225000153 0.005473137026891 -0.043839244191429
15 0.094486306272891 0.000899014999959 0.006376621457321 -0.043615371928059
15 0.11338356752747 0.001188770000226 0.007313193933912 -0.043403448390678
15 0.132280828782048 0.001532695000151 0.008280825909257 -0.043200246726225
15 0.151178090036626 0.001931010000135 0.009282524064566 -0.043007798572879
15 0.170075351291204 0.00238397000021 0.010317590817771 -0.04282415185864
15 0.188972612545783 0.002891845000249 0.011389328894443 -0.042651248078659
15 0.207869873800361 0.003454950000105 0.012485859385583 -0.042477038726398
15 0.226767135054939 0.004073619999872 0.013628777970991 -0.042319888205951
20 -0.264561657564096 0.005892855000184 -0.003161021261367 -0.048870620714206
20 -0.245664396309518 0.005146094999873 -0.002910233707112 -0.048525388394783
20 -0.22676713505494 0.004455894999865 -0.002617415433153 -0.048178012131292
20 -0.207869873800362 0.003821815000265 -0.002281505698959 -0.047832689719573
20 -0.188972612545783 0.003243440000006 -0.00190568296977 -0.047489351560534
20 -0.170075351291205 0.002720389999922 -0.001493221866961 -0.047147944309041
20 -0.151178090036626 0.002252305000184 -0.001043969387323 -0.046811724500633
20 -0.132280828782049 0.001838855000187 -0.00054929254412 -0.046491839530114
20 -0.11338356752747 0.001479765000113 -3.07254768615276E-05 -0.046170063205204
20 -0.094486306272892 0.001174779999928 0.000520598287863 -0.045857226181767
20 -0.075589045018313 0.000923694999983 0.001103408917233 -0.045553868021626
20 -0.056691783763735 0.000726345000203 0.001719072639822 -0.045262748712165
20 -0.037794522509157 0.000582619999932 0.002363209424988 -0.044980476243426
20 -0.018897261254579 0.000492444999963 0.003037670805694 -0.044709445570429
20 0 0.000455785000213 0.003742173233236 -0.044449470775936
20 0.018897261254578 0.000472645000173 0.004479024648218 -0.044202822765759
20 0.037794522509157 0.000543085000118 0.005244506346212 -0.043965413636497
20 0.056691783763735 0.000667185000111 0.006040077795795 -0.043737919225989
20 0.075589045018313 0.000845065000249 0.006868495948864 -0.043522428816803
20 0.094486306272891 0.001076880000255 0.007730275535998 -0.043318301142355
20 0.11338356752747 0.001362810000046 0.008624509357092 -0.043123732760154
20 0.132280828782048 0.001703065000129 0.009551738252297 -0.042938055894533
20 0.151178090036626 0.00209787499989 0.010512357726259 -0.042760772926294
20 0.170075351291204 0.002547479999976 0.011509879422191 -0.04259363227802
20 0.188972612545783 0.003052160000152 0.012534959527201 -0.042427215679527
20 0.207869873800361 0.003612230000272 0.013603855107506 -0.042274796131198
20 0.226767135054939 0.004228020000028 0.014712922301966 -0.042132191071111
25 -0.264561657564096 0.006272569999965 -0.000478306685419 -0.048144025474794
25 -0.245664396309518 0.005515374999959 -0.000271304373291 -0.047799546163728
25 -0.22676713505494 0.004815040000267 -2.59418549579914E-05 -0.047455005529127
25 -0.207869873800362 0.004171105000296 0.000261165316845 -0.047116993310013
25 -0.188972612545783 0.003583165000236 0.000584554414418 -0.046783255634051
25 -0.170075351291205 0.003050820000226 0.000944553464549 -0.046457000319285
25 -0.151178090036626 0.002573714999926 0.001338237994968 -0.046137924752387
25 -0.132280828782049 0.002151520000098 0.001771285055463 -0.04583362018421
25 -0.11338356752747 0.001783950000117 0.00223025304187 -0.045533172424399
25 -0.094486306272892 0.001470745000006 0.002721359677788 -0.04524370695731
25 -0.075589045018313 0.00121170500006 0.003243736654349 -0.044965450471759
